"wavelength","Geothite","hematite","gypsum","calcite","kaolinite_114","kaolinite_113","montmorillinite_126","monmorillinite_127","illite_121","illite_120","kaol_smect_124","kaol_smect_125"
350,0.0191,0.0199,0.872415999,0.7964224469,0.3238,0.3859912258,0.3197,0.5019189879,0.355,0.1544052586,0.1139191783,0.1363377386
351,0.0191,0.019,0.873191532,0.7979764331,0.3291,0.3922203121,0.3216,0.5038569135,0.3563,0.1537566535,0.1161555038,0.1384058898
352,0.0189,0.0182,0.8736871238,0.7991303777,0.3343,0.3985663874,0.3235,0.5054386251,0.3577,0.1530541848,0.118406292,0.14046233
353,0.0187,0.0176,0.8739835731,0.7993329705,0.339,0.4049491559,0.3253,0.5067690378,0.3591,0.152678777,0.1206007354,0.1424306904
354,0.0185,0.0172,0.8741727768,0.7982417219,0.3431,0.4112967381,0.3266,0.5079596258,0.3605,0.1529375513,0.1226864696,0.1442538834
355,0.0183,0.017,0.8744066603,0.7966436073,0.3468,0.4175827771,0.3277,0.5091573414,0.362,0.1537384432,0.1247108844,0.1459791078
356,0.0181,0.017,0.8748573513,0.7957057185,0.3506,0.4237962367,0.3286,0.5105210764,0.3634,0.1548550445,0.1267549417,0.1476886593
357,0.018,0.0171,0.8756969924,0.796595434,0.3546,0.429926092,0.3296,0.5122097321,0.365,0.1560608452,0.1288996286,0.1494648603
358,0.0179,0.0172,0.8770277595,0.8000751119,0.3593,0.4359605976,0.3307,0.5143029272,0.3666,0.157161619,0.131208156,0.1513623022
359,0.0178,0.0174,0.8785733921,0.8047164443,0.3644,0.4418841107,0.3321,0.5164514614,0.3683,0.1581377531,0.1336475889,0.1532855859
360,0.0177,0.0176,0.8799302683,0.8083538641,0.3697,0.4476796765,0.3337,0.518161817,0.3699,0.1590283998,0.1361526344,0.1550888333
361,0.0175,0.0176,0.8807033971,0.8088716881,0.3749,0.4533354755,0.3354,0.5189534332,0.3714,0.1598723206,0.1386589182,0.1566298835
362,0.0174,0.0176,0.8808370378,0.8061150614,0.3798,0.4590393472,0.3373,0.5188536871,0.3728,0.1606913501,0.1411387193,0.157912543
363,0.0173,0.0176,0.8807161477,0.8024763155,0.3843,0.4652384952,0.3393,0.5185497845,0.3741,0.1614853345,0.1436119311,0.159130236
364,0.0173,0.0178,0.8807463903,0.8004744475,0.3883,0.4723801945,0.3416,0.5187582633,0.3757,0.1622524455,0.146101202,0.1604858769
365,0.0174,0.0181,0.8809934155,0.8009348068,0.392,0.4802406286,0.344,0.5196216656,0.3775,0.1629828893,0.1486125749,0.162058678
366,0.0175,0.0184,0.8810811835,0.8024826337,0.3958,0.4877242096,0.3468,0.5205368926,0.3794,0.1636565241,0.1511305212,0.1637671575
367,0.0174,0.0184,0.8806159383,0.8036259897,0.4003,0.493704235,0.3499,0.5208661313,0.3814,0.1642541907,0.1536384756,0.1655198245
368,0.0174,0.0183,0.8796627583,0.8040336775,0.4057,0.4981093448,0.3532,0.5205593003,0.3834,0.1648218115,0.1561355933,0.16725357
369,0.0173,0.018,0.8788827642,0.8048823428,0.4114,0.5022391065,0.3567,0.5203298026,0.3854,0.165489852,0.1586414512,0.1689421539
370,0.0172,0.0179,0.8789620315,0.807412127,0.417,0.5074610246,0.3602,0.5209260985,0.3875,0.1663907738,0.1611767291,0.1705633113
371,0.0173,0.0179,0.8800081868,0.8114140584,0.422,0.5142218739,0.3637,0.5224759107,0.3895,0.1675149733,0.1637519135,0.1721535155
372,0.0173,0.018,0.8813774316,0.814796716,0.4266,0.5217723694,0.3672,0.5243006023,0.3916,0.1686682992,0.1663642496,0.173825543
373,0.0174,0.0182,0.8823858511,0.8153943357,0.4306,0.5292870503,0.371,0.5256806199,0.3938,0.1696487955,0.1690097157,0.1756939657
374,0.0174,0.0182,0.882742283,0.8130418132,0.4341,0.5360865922,0.375,0.5264007707,0.3961,0.1704305548,0.1716694427,0.1777449119
375,0.0175,0.0183,0.8826657642,0.8101729728,0.4375,0.5416815071,0.379,0.5269010443,0.3983,0.1712163634,0.1743052743,0.1797976572
376,0.0175,0.0182,0.8824086079,0.8093474579,0.4412,0.5456181975,0.3828,0.5276571301,0.4005,0.1722205834,0.1768791757,0.1816642851
377,0.0176,0.0182,0.8821912016,0.8112639098,0.4452,0.5483450986,0.3867,0.5288303353,0.4026,0.1735134205,0.1794079545,0.1833107755
378,0.0176,0.0182,0.8821924608,0.8142034621,0.4493,0.5514824178,0.391,0.5301735733,0.4046,0.1749778168,0.1819796597,0.1849030262
379,0.0177,0.0183,0.8825850678,0.8163200581,0.4532,0.556679769,0.3961,0.531417539,0.4067,0.1764849232,0.1846845209,0.1866177516
380,0.0178,0.0185,0.8834071435,0.8171040026,0.4569,0.5636855701,0.4018,0.5324902227,0.4089,0.1779340422,0.187512432,0.1885327775
381,0.0178,0.0187,0.8845220084,0.8177815811,0.4609,0.5697785187,0.4067,0.5335759092,0.4111,0.1792610455,0.1903229473,0.1905974693
382,0.0178,0.0189,0.8857097133,0.8194659961,0.4652,0.5727754911,0.41,0.5347645271,0.4134,0.1804328838,0.1929954197,0.1927299275
383,0.0178,0.0192,0.8863631065,0.8220312914,0.4689,0.5742970033,0.4135,0.5355430121,0.4155,0.1815713864,0.1955634026,0.1947255826
384,0.0178,0.0195,0.8859930474,0.8249247238,0.471,0.5767356472,0.4193,0.5355737915,0.4174,0.1828422412,0.1981010517,0.1964319666
385,0.0178,0.0198,0.8854534185,0.8275404819,0.4735,0.5797371947,0.4252,0.5365659678,0.4191,0.184366472,0.200621476,0.198201683
386,0.0178,0.0198,0.8858011184,0.8293634091,0.4781,0.5823369763,0.4286,0.5401997139,0.4206,0.1861745161,0.2031162318,0.2004235066
387,0.0178,0.0197,0.886746572,0.8304646933,0.4838,0.585269678,0.4308,0.5442734039,0.4222,0.1878882105,0.2055714786,0.2027625425
388,0.0178,0.0194,0.88760655,0.831109532,0.4885,0.5894667881,0.4341,0.5460725041,0.4238,0.1891130045,0.2079744447,0.2047618785
